year,gdp_per_capita_yearly_growth,name,year_total_gdp,current_total_gdp,iso3166_1_alpha2,population_total,income_per_person,life_expectancy_at_birth,life_expectancy_years,yearly_co2_emissions_1000_tonnes,democracy_score_use_as_color,agriculture_percent_of_gdp,industry_percent_of_gdp,services_percent_of_gdp,agriculture_workers_percent_of_employment,industry_workers_percent_of_employment,service_workers_percent_of_employment,self_employed_percent_of_employment,electricity_generation_per_person,natural_gas_production_per_person,hydro_power_generation_per_person,nuclear_power_generation_per_person,oil_production_per_person,electricity_use_per_person,residential_electricity_use_per_person,working_hours_per_week,gdpperworking_hour_us_inflation_adjusted,latitude,longitude
1801,0.285,Brazil,2587000000,2907000000000,BR,3678743,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1802,0.285,Brazil,2623000000,2907000000000,BR,3718270,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1803,0.285,Brazil,2658000000,2907000000000,BR,3758222,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1804,0.285,Brazil,2695000000,2907000000000,BR,3798603,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1805,0.285,Brazil,2731000000,2907000000000,BR,3839418,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1806,0.285,Brazil,2769000000,2907000000000,BR,3880671,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1807,0.285,Brazil,2806000000,2907000000000,BR,3922368,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1808,0.285,Brazil,2844000000,2907000000000,BR,3964513,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1809,0.285,Brazil,2883000000,2907000000000,BR,4007110,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1810,0.285,Brazil,2923000000,2907000000000,BR,4058652,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1811,0.285,Brazil,2962000000,2907000000000,BR,4103367,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1812,0.285,Brazil,3003000000,2907000000000,BR,4149685,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1813,0.285,Brazil,3044000000,2907000000000,BR,4197643,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1814,0.285,Brazil,3085000000,2907000000000,BR,4247275,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1815,0.285,Brazil,3127000000,2907000000000,BR,4298619,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1816,0.285,Brazil,3170000000,2907000000000,BR,4351710,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1817,0.285,Brazil,3213000000,2907000000000,BR,4406588,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1818,0.285,Brazil,3257000000,2907000000000,BR,4463290,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1819,0.285,Brazil,3301000000,2907000000000,BR,4521855,-1,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1820,0.285,Brazil,3346000000,2907000000000,BR,4582325,742.4,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1821,0.1975,Brazil,3406000000,2907000000000,BR,4644739,743.9,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1822,0.1975,Brazil,3467000000,2907000000000,BR,4709139,745.3,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1823,0.1975,Brazil,3529000000,2907000000000,BR,4775566,746.8,32,32,NA,NA,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1824,0.1975,Brazil,3592000000,2907000000000,BR,4844066,748.3,32,32,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1825,0.1975,Brazil,3656000000,2907000000000,BR,4914680,749.8,32,32,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1826,0.1975,Brazil,3722000000,2907000000000,BR,4987454,751.2,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1827,0.1975,Brazil,3789000000,2907000000000,BR,5062432,752.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1828,0.1975,Brazil,3856000000,2907000000000,BR,5139663,754.2,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
1829,0.1975,Brazil,3925000000,2907000000000,BR,5219192,755.7,31.99,31.99,NA,-6,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-55
